x	y	z	contour type	slice	weight	time frame
275.0	199.0	59.0	SAX_LV_ENDOCARDIAL	10	500	0
268.0	193.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
294.0	198.0	82.0	SAX_LV_ENDOCARDIAL	10	500	0
241.0	216.0	71.0	SAX_LV_ENDOCARDIAL	10	500	0
273.0	184.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
295.0	131.0	60.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	202.0	72.0	SAX_LV_ENDOCARDIAL	10	500	0
299.0	187.0	101.0	SAX_LV_ENDOCARDIAL	10	500	0
275.0	155.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
280.0	209.0	101.0	SAX_LV_ENDOCARDIAL	10	500	0
307.0	143.0	48.0	SAX_LV_ENDOCARDIAL	10	500	0
242.0	166.0	76.0	SAX_LV_ENDOCARDIAL	10	500	0
267.0	143.0	69.0	SAX_LV_ENDOCARDIAL	10	500	0
294.0	200.0	90.0	SAX_LV_ENDOCARDIAL	10	500	0
304.0	187.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
257.0	213.0	97.0	SAX_LV_ENDOCARDIAL	10	500	0
261.0	174.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
282.0	190.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
249.0	209.0	100.0	SAX_LV_ENDOCARDIAL	10	500	0
259.0	161.0	65.0	SAX_LV_ENDOCARDIAL	10	500	0
286.0	173.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
314.0	143.0	69.0	SAX_LV_ENDOCARDIAL	10	500	0
251.0	201.0	106.0	SAX_LV_ENDOCARDIAL	10	500	0
238.0	199.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
272.0	176.0	51.0	SAX_LV_ENDOCARDIAL	10	500	0
266.0	144.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
252.0	159.0	86.0	SAX_LV_ENDOCARDIAL	10	500	0
287.0	203.0	80.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	136.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
296.0	131.0	74.0	SAX_LV_ENDOCARDIAL	10	500	0
314.0	154.0	63.0	SAX_LV_ENDOCARDIAL	10	500	0
286.0	163.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
224.0	194.0	60.0	SAX_LV_ENDOCARDIAL	10	500	0
225.0	178.0	66.0	SAX_LV_ENDOCARDIAL	10	500	0
242.0	218.0	75.0	SAX_LV_ENDOCARDIAL	10	500	0
251.0	211.0	92.0	SAX_LV_ENDOCARDIAL	10	500	0
281.0	136.0	95.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	144.0	103.0	SAX_LV_ENDOCARDIAL	10	500	0
290.0	204.0	73.0	SAX_LV_ENDOCARDIAL	10	500	0
280.0	213.0	78.0	SAX_LV_ENDOCARDIAL	10	500	0
271.0	140.0	70.0	SAX_LV_ENDOCARDIAL	10	500	0
264.0	148.0	72.0	SAX_LV_ENDOCARDIAL	10	500	0
278.0	200.0	61.0	SAX_LV_ENDOCARDIAL	10	500	0
260.0	211.0	61.0	SAX_LV_ENDOCARDIAL	10	500	0
277.0	189.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	162.0	54.0	SAX_LV_ENDOCARDIAL	10	500	0
289.0	147.0	103.0	SAX_LV_ENDOCARDIAL	10	500	0
285.0	165.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
252.0	215.0	65.0	SAX_LV_ENDOCARDIAL	10	500	0
220.0	166.0	88.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	207.0	56.0	SAX_LV_ENDOCARDIAL	10	500	0
245.0	215.0	67.0	SAX_LV_ENDOCARDIAL	10	500	0
277.0	132.0	74.0	SAX_LV_ENDOCARDIAL	10	500	0
234.0	164.0	92.0	SAX_LV_ENDOCARDIAL	10	500	0
273.0	173.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
286.0	209.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
248.0	192.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	149.0	80.0	SAX_LV_ENDOCARDIAL	10	500	0
314.0	141.0	60.0	SAX_LV_ENDOCARDIAL	10	500	0
253.0	185.0	53.0	SAX_LV_ENDOCARDIAL	10	500	0
303.0	149.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
243.0	169.0	107.0	SAX_LV_ENDOCARDIAL	10	500	0
255.0	161.0	71.0	SAX_LV_ENDOCARDIAL	10	500	0
257.0	203.0	104.0	SAX_LV_ENDOCARDIAL	10	500	0
247.0	163.0	83.0	SAX_LV_ENDOCARDIAL	10	500	0
297.0	137.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	150.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
223.0	164.0	90.0	SAX_LV_ENDOCARDIAL	10	500	0
221.0	170.0	78.0	SAX_LV_ENDOCARDIAL	10	500	0
272.0	215.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	148.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
265.0	216.0	77.0	SAX_LV_ENDOCARDIAL	10	500	0
277.0	161.0	51.0	SAX_LV_ENDOCARDIAL	10	500	0
257.0	186.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
231.0	177.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
283.0	154.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
258.0	215.0	92.0	SAX_LV_ENDOCARDIAL	10	500	0
304.0	147.0	93.0	SAX_LV_ENDOCARDIAL	10	500	0
237.0	165.0	100.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	180.0	97.0	SAX_LV_ENDOCARDIAL	10	500	0
242.0	174.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	136.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
288.0	159.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
281.0	136.0	94.0	SAX_LV_ENDOCARDIAL	10	500	0
279.0	149.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
298.0	172.0	56.0	SAX_LV_ENDOCARDIAL	10	500	0
227.0	177.0	66.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	138.0	66.0	SAX_LV_ENDOCARDIAL	10	500	0
302.0	188.0	81.0	SAX_LV_ENDOCARDIAL	10	500	0
308.0	150.0	87.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	156.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
295.0	183.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	176.0	82.0	SAX_LV_ENDOCARDIAL	10	500	0
301.0	140.0	48.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	163.0	77.0	SAX_LV_ENDOCARDIAL	10	500	0
